term,weight
call,98.85480359042714
ok,78.58359827500175
get,62.69096044365889
gt,52.14495014421391
come,52.01222369993791
lt,51.663577338651116
ur,50.59733363166932
got,48.83217351039895
good,47.317166586891474
sorry,46.55705741949081
know,46.04224323501051
go,45.78523488309609
free,44.42159782889976
later,44.063736468620405
home,43.58768402963152
time,42.098527616587674
day,40.21861785942306
like,40.195124836269315
da,40.11223275156106
going,39.754235840853916
want,39.42170849978275
lor,39.05801851123934
love,35.59391626848992
send,35.50987659743135
still,34.44309076361932
text,34.00725476357461
need,32.598656437865046
today,32.02718882820061
take,31.619299010830243
see,31.550471489757438
dont,30.262422351637557
please,29.9461673858773
one,29.495206113898107
back,29.478617579721544
wat,29.168814430179832
oh,27.988913643260847
new,27.488634453147757
dear,27.47299498590461
hi,27.23994805701575
tell,27.04214396964885
think,26.397535381796427
hey,26.00431875247747
pls,25.9931208259914
stop,25.799689479964538
yes,25.74344037899493
way,25.70279781261902
great,25.682013057456604
yeah,25.667457693335987
txt,25.537514811429453
phone,25.318245142215808
