термин,вес
как,0.05272578548335253
рублей,0.03911513155886404
буду,0.028888555898436027
месяц,0.02787096634294424
день,0.026555435437288208
для,0.0252776943190103
часов,0.02480208366436116
позвоню,0.02417765534160478
меня,0.021892889727495653
сейчас,0.021701718990090595
бесплатно,0.02153837543570894
сегодня,0.021492033197021185
помню,0.02103068475816074
имя,0.020602124885933926
спасибо,0.02042348200473831
привет,0.019590460000635364
придет,0.018677593660838387
приз,0.01853836741636699
встретиться,0.01659657546528065
встречи,0.016070608663330627
договорились,0.016070608663330627
прямо,0.015962642380464593
дома,0.01501581562963471
говорить,0.014192032023721483
днях,0.014027161323092202
звоните,0.013934024847701159
сайт,0.013799297754634456
перейдите,0.013799297754634456
прошел,0.013681226210649705
пишешь,0.013551739605556062
серьезно,0.013551739605556062
выиграли,0.013275618823798773
получить,0.013220474027583126
хах,0.01312159702703695
убедительная,0.01312159702703695
тут,0.01312159702703695
смотрю,0.01312159702703695
такая,0.01312159702703695
ладно,0.01312159702703695
бесплатное,0.012986709823380493
позвоните,0.012982674565052884
срочно,0.012973892189563262
приеду,0.012794254244296937
домой,0.012794254244296937
вызов,0.012792603758284225
обеда,0.012785194849233149
сделала,0.012647219571825522
слово,0.012266238166692797
получи,0.012151474925684996
клиент,0.011871371457096831
мобильный,0.01183604916041281
придешь,0.011829127083394845
готовлю,0.011829127083394845
ужин,0.011829127083394845
гб,0.011815561277630537
рингтон,0.011757097556450274
свидание,0.011639597534949014
иваном,0.011639597534949014
воскресенье,0.011639597534949014
отпуск,0.011363636363636364
выходной,0.011363636363636364
долгожданный,0.011363636363636364
завтра,0.011363636363636364
отправьте,0.011279814220188736
номер,0.011279814220188736
условия,0.011279814220188736
помощь,0.01044255928545979
думаю,0.010359968621815261
ффффффф,0.010359968621815261
живет,0.010359968621815261
товар,0.010359968621815261
тобой,0.010359968621815261
потом,0.010359968621815261
сюда,0.010359968621815261
раньше,0.010359968621815261
смогу,0.010359968621815261
платишь,0.010359968621815261
сначала,0.010359968621815261
далеко,0.010359968621815261
хахаха,0.010163945352271773
забудь,0.010163945352271773
шутю,0.010163945352271773
обратном,0.010163945352271773
два,0.010163945352271773
месяца,0.010163945352271773
попробую,0.010163945352271773
молоко,0.010163945352271773
купить,0.010163945352271773
пути,0.010163945352271773
видеть,0.010009514112335803
вечеринку,0.010009514112335803
приглашение,0.010009514112335803
прекрасно,0.010009514112335803
обычно,0.009832386250096404
давай,0.009832386250096404
встретимся,0.009832386250096404
пятницу,0.009832386250096404
вечером,0.009832386250096404
долго,0.009410128069626584
задерживаться,0.009410128069626584
